#,formula,activity,Syngony,"length, nm","width, nm","depth, nm",surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",link
1,CoFe2O4,peroxidase,7,4.1,4.1,4.1,naked,oleic acid,0,282.47,0.0065,1.3763,TMB + H2O2,0.001,1.5,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
2,CoFe2O4,peroxidase,7,13.8,13.8,13.8,naked,oleic acid,0,282.47,0.0554,0.2643,TMB + H2O2,0.001,1.5,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
3,CoFe2O4,peroxidase,7,4.1,4.1,4.1,naked,oleic acid,0,282.47,0.0355,8.363,H2O2 + TMB,0.5,25,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
4,CoFe2O4,peroxidase,7,13.8,13.8,13.8,naked,oleic acid,0,282.47,0.2277,0.4382,H2O2 + TMB,0.5,25,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
5,CoFe2O4,peroxidase,7,24.5,24.5,24.5,naked,oleic acid,0,282.47,0.0173,1.0272,TMB + H2O2,0.2,100,15,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
6,CoFe2O4,peroxidase,7,32.1,32.1,32.1,naked,oleic acid,0,282.47,0.0243,0.6753,TMB + H2O2,0.2,100,15,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
7,CoFe2O4,peroxidase,7,45.2,45.2,45.2,naked,oleic acid,0,282.47,0.0348,0.6468,TMB + H2O2,0.2,100,15,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
8,CoFe2O4,peroxidase,7,24.5,24.5,24.5,naked,oleic acid,0,282.47,0.0393,1.2813,H2O2 + TMB,0.5,25,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
9,CoFe2O4,peroxidase,7,32.1,32.1,32.1,naked,oleic acid,0,282.47,0.0661,0.9203,H2O2 + TMB,0.5,25,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
10,CoFe2O4,peroxidase,7,45.2,45.2,45.2,naked,oleic acid,0,282.47,0.1107,1.0422,H2O2 + TMB,0.5,25,100,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G
